batch_id,clickup_list_id,shipment_index,shipment_key,task_id,task_url,task_name,received_at,from_email,to_email,subject,shipper_name,shipper_email,customer_name,origin,pol,mother_pol,port_of_discharge,booking_number,number_of_containers,container_type,container_numbers,cargo_description,cargo_ready_date,etd,eta,initial_estatus_db,mode,error
ONE-EMAIL-SEED-20260429080000,901712832326,11,ONE-TT-0011,,,"EMAIL | ONE-TT-0011 | ONEYTT26000011 | Xiamen, China",2026-04-29T08:05:00-06:00,exports@ningbo-harbor-parts.cn,sandbox-shipments@mtm-logistics.test,"New ONE shipment request - ONEYTT26000011 - 1x 40 HC from Xiamen, China","Ningbo Harbor Precision Parts Co., Ltd.",exports@ningbo-harbor-parts.cn,Sandbox Retail Distribution,"Xiamen, China factory zone","Xiamen, China",YANTIAN,"Lázaro Cárdenas, México",ONEYTT26000011,1,40 HC,ONEU2600119,Ceramic tiles and sanitary ware,2026-05-05T09:00:00-06:00,2026-05-06T18:00:00-06:00,2026-06-04T18:00:00-06:00,Booking por Confirmar,dry-run,
ONE-EMAIL-SEED-20260429080000,901712832326,12,ONE-TT-0012,,,"EMAIL | ONE-TT-0012 | ONEYTT26000012 | Ningbo, China",2026-04-29T08:05:30-06:00,shipping@apexhome-shenzhen.cn,sandbox-shipments@mtm-logistics.test,"New ONE shipment request - ONEYTT26000012 - 2x 40 DRY from Ningbo, China",Shenzhen Apex Home Products Ltd.,shipping@apexhome-shenzhen.cn,Sandbox Industrial Supplies,"Ningbo, China factory zone","Ningbo, China",NINGBO,PUERTO QUETZAL,ONEYTT26000012,2,40 DRY,ONEU2600124; ONEU2610122,LED lighting components,2026-05-06T09:00:00-06:00,2026-05-07T18:00:00-06:00,2026-05-31T18:00:00-06:00,Booking por Confirmar,dry-run,
ONE-EMAIL-SEED-20260429080000,901712832326,13,ONE-TT-0013,,,"EMAIL | ONE-TT-0013 | ONEYTT26000013 | Ningbo, China",2026-04-29T08:06:00-06:00,logistics@sunrise-machinery.cn,sandbox-shipments@mtm-logistics.test,"New ONE shipment request - ONEYTT26000013 - 3x 40 DRY from Ningbo, China","Qingdao Sunrise Machinery Co., Ltd.",logistics@sunrise-machinery.cn,Sandbox Customer Guatemala,"Ningbo, China factory zone","Ningbo, China",NINGBO,"MANZANILLO, MEXICO",ONEYTT26000013,3,40 DRY,ONEU2600130; ONEU2610138; ONEU2620136,Textile rolls and accessories,2026-05-07T09:00:00-06:00,2026-05-08T18:00:00-06:00,2026-06-02T18:00:00-06:00,Booking por Confirmar,dry-run,
ONE-EMAIL-SEED-20260429080000,901712832326,14,ONE-TT-0014,,,"EMAIL | ONE-TT-0014 | ONEYTT26000014 | Shekou, China",2026-04-29T08:06:30-06:00,docs@blueocean-ceramics.cn,sandbox-shipments@mtm-logistics.test,"New ONE shipment request - ONEYTT26000014 - 4x 40 HC from Shekou, China",Xiamen Blue Ocean Ceramics Ltd.,docs@blueocean-ceramics.cn,Sandbox Customer Mexico,"Shekou, China factory zone","Shekou, China",SHEKOU,PUERTO QUETZAL,ONEYTT26000014,4,40 HC,ONEU2600145; ONEU2610143; ONEU2620141; ONEU2630140,Plastic household articles,2026-05-01T09:00:00-06:00,2026-05-09T18:00:00-06:00,2026-06-04T18:00:00-06:00,Booking por Confirmar,dry-run,
ONE-EMAIL-SEED-20260429080000,901712832326,15,ONE-TT-0015,,,"EMAIL | ONE-TT-0015 | ONEYTT26000015 | Yantian, China",2026-04-29T08:07:00-06:00,export.ops@yantian-electronics.cn,sandbox-shipments@mtm-logistics.test,"New ONE shipment request - ONEYTT26000015 - 5x 40 HC from Yantian, China","Yantian Global Electronics Co., Ltd.",export.ops@yantian-electronics.cn,Sandbox Customer El Salvador,"Yantian, China factory zone","Yantian, China",YANTIAN,"VERACRUZ, MEXICO",ONEYTT26000015,5,40 HC,ONEU2600150; ONEU2610159; ONEU2620157; ONEU2630155; ONEU2640153,"Furniture parts, KD packed",2026-05-02T09:00:00-06:00,2026-05-10T18:00:00-06:00,2026-06-06T18:00:00-06:00,Booking por Confirmar,dry-run,
ONE-EMAIL-SEED-20260429080000,901712832326,16,ONE-TT-0016,,,"EMAIL | ONE-TT-0016 | ONEYTT26000016 | Qingdao, China",2026-04-29T08:07:30-06:00,salesops@meridian-foshan.cn,sandbox-shipments@mtm-logistics.test,"New ONE shipment request - ONEYTT26000016 - 1x 40 HC from Qingdao, China",Foshan Meridian Furniture Manufacturing,salesops@meridian-foshan.cn,Sandbox Automotive Imports,"Qingdao, China factory zone","Qingdao, China",QINGDAO,PUERTO SANTO TOMÁS DE CASTILLA,ONEYTT26000016,1,40 HC,ONEU2600166,Machinery spare parts,2026-05-03T09:00:00-06:00,2026-05-11T18:00:00-06:00,2026-06-08T18:00:00-06:00,Booking por Confirmar,dry-run,
ONE-EMAIL-SEED-20260429080000,901712832326,17,ONE-TT-0017,,,"EMAIL | ONE-TT-0017 | ONEYTT26000017 | Xiamen, China",2026-04-29T08:08:00-06:00,shipment@pearl-lighting.cn,sandbox-shipments@mtm-logistics.test,"New ONE shipment request - ONEYTT26000017 - 2x 40 HC from Xiamen, China",Guangzhou Pearl Lighting Factory,shipment@pearl-lighting.cn,Sandbox Retail Distribution,"Xiamen, China factory zone","Xiamen, China",YANTIAN,"Lázaro Cárdenas, México",ONEYTT26000017,2,40 HC,ONEU2600171; ONEU2610170,"Auto spare parts, non-hazardous",2026-05-04T09:00:00-06:00,2026-05-12T18:00:00-06:00,2026-06-10T18:00:00-06:00,Booking por Confirmar,dry-run,
ONE-EMAIL-SEED-20260429080000,901712832326,18,ONE-TT-0018,,,"EMAIL | ONE-TT-0018 | ONEYTT26000018 | Ningbo, China",2026-04-29T08:08:30-06:00,booking@eastline-tools.cn,sandbox-shipments@mtm-logistics.test,"New ONE shipment request - ONEYTT26000018 - 3x 40 HC from Ningbo, China","Ningbo Eastline Tools Co., Ltd.",booking@eastline-tools.cn,Sandbox Industrial Supplies,"Ningbo, China factory zone","Ningbo, China",NINGBO,PUERTO QUETZAL,ONEYTT26000018,3,40 HC,ONEU2600187; ONEU2610185; ONEU2620183,Household goods and retail fixtures,2026-05-05T09:00:00-06:00,2026-05-04T18:00:00-06:00,2026-05-28T18:00:00-06:00,Booking por Confirmar,dry-run,
ONE-EMAIL-SEED-20260429080000,901712832326,19,ONE-TT-0019,,,"EMAIL | ONE-TT-0019 | ONEYTT26000019 | Ningbo, China",2026-04-29T08:09:00-06:00,export@brighttoys-shantou.cn,sandbox-shipments@mtm-logistics.test,"New ONE shipment request - ONEYTT26000019 - 4x 20GP from Ningbo, China",Shantou Bright Toys Manufacturing,export@brighttoys-shantou.cn,Sandbox Customer Guatemala,"Ningbo, China factory zone","Ningbo, China",NINGBO,"MANZANILLO, MEXICO",ONEYTT26000019,4,20GP,ONEU2600192; ONEU2610190; ONEU2620199; ONEU2630197,Ceramic tiles and sanitary ware,2026-05-06T09:00:00-06:00,2026-05-05T18:00:00-06:00,2026-05-30T18:00:00-06:00,Booking por Confirmar,dry-run,
ONE-EMAIL-SEED-20260429080000,901712832326,20,ONE-TT-0020,,,"EMAIL | ONE-TT-0020 | ONEYTT26000020 | Shekou, China",2026-04-29T08:09:30-06:00,logistics@primetextile-suzhou.cn,sandbox-shipments@mtm-logistics.test,"New ONE shipment request - ONEYTT26000020 - 5x 40 HC from Shekou, China",Suzhou Prime Textile Group,logistics@primetextile-suzhou.cn,Sandbox Customer Mexico,"Shekou, China factory zone","Shekou, China",SHEKOU,PUERTO QUETZAL,ONEYTT26000020,5,40 HC,ONEU2600206; ONEU2610204; ONEU2620202; ONEU2630200; ONEU2640209,LED lighting components,2026-05-07T09:00:00-06:00,2026-05-06T18:00:00-06:00,2026-06-01T18:00:00-06:00,Booking por Confirmar,dry-run,
ONE-EMAIL-SEED-20260429080000,901712832326,21,ONE-TT-0021,,,"EMAIL | ONE-TT-0021 | ONEYTT26000021 | Yantian, China",2026-04-29T08:10:00-06:00,exports@ningbo-harbor-parts.cn,sandbox-shipments@mtm-logistics.test,"New ONE shipment request - ONEYTT26000021 - 1x 40 HC from Yantian, China","Ningbo Harbor Precision Parts Co., Ltd.",exports@ningbo-harbor-parts.cn,Sandbox Customer El Salvador,"Yantian, China factory zone","Yantian, China",YANTIAN,"VERACRUZ, MEXICO",ONEYTT26000021,1,40 HC,ONEU2600211,Textile rolls and accessories,2026-05-01T09:00:00-06:00,2026-05-07T18:00:00-06:00,2026-06-03T18:00:00-06:00,Booking por Confirmar,dry-run,
ONE-EMAIL-SEED-20260429080000,901712832326,22,ONE-TT-0022,,,"EMAIL | ONE-TT-0022 | ONEYTT26000022 | Qingdao, China",2026-04-29T08:10:30-06:00,shipping@apexhome-shenzhen.cn,sandbox-shipments@mtm-logistics.test,"New ONE shipment request - ONEYTT26000022 - 2x 40 DRY from Qingdao, China",Shenzhen Apex Home Products Ltd.,shipping@apexhome-shenzhen.cn,Sandbox Automotive Imports,"Qingdao, China factory zone","Qingdao, China",QINGDAO,PUERTO SANTO TOMÁS DE CASTILLA,ONEYTT26000022,2,40 DRY,ONEU2600227; ONEU2610225,Plastic household articles,2026-05-02T09:00:00-06:00,2026-05-08T18:00:00-06:00,2026-06-05T18:00:00-06:00,Booking por Confirmar,dry-run,
ONE-EMAIL-SEED-20260429080000,901712832326,23,ONE-TT-0023,,,"EMAIL | ONE-TT-0023 | ONEYTT26000023 | Xiamen, China",2026-04-29T08:11:00-06:00,logistics@sunrise-machinery.cn,sandbox-shipments@mtm-logistics.test,"New ONE shipment request - ONEYTT26000023 - 3x 40 DRY from Xiamen, China","Qingdao Sunrise Machinery Co., Ltd.",logistics@sunrise-machinery.cn,Sandbox Retail Distribution,"Xiamen, China factory zone","Xiamen, China",YANTIAN,"Lázaro Cárdenas, México",ONEYTT26000023,3,40 DRY,ONEU2600232; ONEU2610230; ONEU2620239,"Furniture parts, KD packed",2026-05-03T09:00:00-06:00,2026-05-09T18:00:00-06:00,2026-06-07T18:00:00-06:00,Booking por Confirmar,dry-run,
ONE-EMAIL-SEED-20260429080000,901712832326,24,ONE-TT-0024,,,"EMAIL | ONE-TT-0024 | ONEYTT26000024 | Ningbo, China",2026-04-29T08:11:30-06:00,docs@blueocean-ceramics.cn,sandbox-shipments@mtm-logistics.test,"New ONE shipment request - ONEYTT26000024 - 4x 40 HC from Ningbo, China",Xiamen Blue Ocean Ceramics Ltd.,docs@blueocean-ceramics.cn,Sandbox Industrial Supplies,"Ningbo, China factory zone","Ningbo, China",NINGBO,PUERTO QUETZAL,ONEYTT26000024,4,40 HC,ONEU2600248; ONEU2610246; ONEU2620244; ONEU2630242,Machinery spare parts,2026-05-04T09:00:00-06:00,2026-05-10T18:00:00-06:00,2026-06-03T18:00:00-06:00,Booking por Confirmar,dry-run,
ONE-EMAIL-SEED-20260429080000,901712832326,25,ONE-TT-0025,,,"EMAIL | ONE-TT-0025 | ONEYTT26000025 | Ningbo, China",2026-04-29T08:12:00-06:00,export.ops@yantian-electronics.cn,sandbox-shipments@mtm-logistics.test,"New ONE shipment request - ONEYTT26000025 - 5x 20GP from Ningbo, China","Yantian Global Electronics Co., Ltd.",export.ops@yantian-electronics.cn,Sandbox Customer Guatemala,"Ningbo, China factory zone","Ningbo, China",NINGBO,"MANZANILLO, MEXICO",ONEYTT26000025,5,20GP,ONEU2600253; ONEU2610251; ONEU2620250; ONEU2630258; ONEU2640256,"Auto spare parts, non-hazardous",2026-05-05T09:00:00-06:00,2026-05-11T18:00:00-06:00,2026-06-05T18:00:00-06:00,Booking por Confirmar,dry-run,
ONE-EMAIL-SEED-20260429080000,901712832326,26,ONE-TT-0026,,,"EMAIL | ONE-TT-0026 | ONEYTT26000026 | Shekou, China",2026-04-29T08:12:30-06:00,salesops@meridian-foshan.cn,sandbox-shipments@mtm-logistics.test,"New ONE shipment request - ONEYTT26000026 - 1x 40 DRY from Shekou, China",Foshan Meridian Furniture Manufacturing,salesops@meridian-foshan.cn,Sandbox Customer Mexico,"Shekou, China factory zone","Shekou, China",SHEKOU,PUERTO QUETZAL,ONEYTT26000026,1,40 DRY,ONEU2600269,Household goods and retail fixtures,2026-05-06T09:00:00-06:00,2026-05-12T18:00:00-06:00,2026-06-07T18:00:00-06:00,Booking por Confirmar,dry-run,
ONE-EMAIL-SEED-20260429080000,901712832326,27,ONE-TT-0027,,,"EMAIL | ONE-TT-0027 | ONEYTT26000027 | Yantian, China",2026-04-29T08:13:00-06:00,shipment@pearl-lighting.cn,sandbox-shipments@mtm-logistics.test,"New ONE shipment request - ONEYTT26000027 - 2x 40 DRY from Yantian, China",Guangzhou Pearl Lighting Factory,shipment@pearl-lighting.cn,Sandbox Customer El Salvador,"Yantian, China factory zone","Yantian, China",YANTIAN,"VERACRUZ, MEXICO",ONEYTT26000027,2,40 DRY,ONEU2600274; ONEU2610272,Ceramic tiles and sanitary ware,2026-05-07T09:00:00-06:00,2026-05-04T18:00:00-06:00,2026-05-31T18:00:00-06:00,Booking por Confirmar,dry-run,
ONE-EMAIL-SEED-20260429080000,901712832326,28,ONE-TT-0028,,,"EMAIL | ONE-TT-0028 | ONEYTT26000028 | Qingdao, China",2026-04-29T08:13:30-06:00,booking@eastline-tools.cn,sandbox-shipments@mtm-logistics.test,"New ONE shipment request - ONEYTT26000028 - 3x 40 DRY from Qingdao, China","Ningbo Eastline Tools Co., Ltd.",booking@eastline-tools.cn,Sandbox Automotive Imports,"Qingdao, China factory zone","Qingdao, China",QINGDAO,PUERTO SANTO TOMÁS DE CASTILLA,ONEYTT26000028,3,40 DRY,ONEU2600280; ONEU2610288; ONEU2620286,LED lighting components,2026-05-01T09:00:00-06:00,2026-05-05T18:00:00-06:00,2026-06-02T18:00:00-06:00,Booking por Confirmar,dry-run,
ONE-EMAIL-SEED-20260429080000,901712832326,29,ONE-TT-0029,,,"EMAIL | ONE-TT-0029 | ONEYTT26000029 | Xiamen, China",2026-04-29T08:14:00-06:00,export@brighttoys-shantou.cn,sandbox-shipments@mtm-logistics.test,"New ONE shipment request - ONEYTT26000029 - 4x 40 DRY from Xiamen, China",Shantou Bright Toys Manufacturing,export@brighttoys-shantou.cn,Sandbox Retail Distribution,"Xiamen, China factory zone","Xiamen, China",YANTIAN,"Lázaro Cárdenas, México",ONEYTT26000029,4,40 DRY,ONEU2600295; ONEU2610293; ONEU2620291; ONEU2630290,Textile rolls and accessories,2026-05-02T09:00:00-06:00,2026-05-06T18:00:00-06:00,2026-06-04T18:00:00-06:00,Booking por Confirmar,dry-run,
ONE-EMAIL-SEED-20260429080000,901712832326,30,ONE-TT-0030,,,"EMAIL | ONE-TT-0030 | ONEYTT26000030 | Ningbo, China",2026-04-29T08:14:30-06:00,logistics@primetextile-suzhou.cn,sandbox-shipments@mtm-logistics.test,"New ONE shipment request - ONEYTT26000030 - 5x 40 DRY from Ningbo, China",Suzhou Prime Textile Group,logistics@primetextile-suzhou.cn,Sandbox Industrial Supplies,"Ningbo, China factory zone","Ningbo, China",NINGBO,PUERTO QUETZAL,ONEYTT26000030,5,40 DRY,ONEU2600309; ONEU2610307; ONEU2620305; ONEU2630303; ONEU2640301,Plastic household articles,2026-05-03T09:00:00-06:00,2026-05-07T18:00:00-06:00,2026-05-31T18:00:00-06:00,Booking por Confirmar,dry-run,
ONE-EMAIL-SEED-20260429080000,901712832326,31,ONE-TT-0031,,,"EMAIL | ONE-TT-0031 | ONEYTT26000031 | Ningbo, China",2026-04-29T08:15:00-06:00,exports@ningbo-harbor-parts.cn,sandbox-shipments@mtm-logistics.test,"New ONE shipment request - ONEYTT26000031 - 1x 40 DRY from Ningbo, China","Ningbo Harbor Precision Parts Co., Ltd.",exports@ningbo-harbor-parts.cn,Sandbox Customer Guatemala,"Ningbo, China factory zone","Ningbo, China",NINGBO,"MANZANILLO, MEXICO",ONEYTT26000031,1,40 DRY,ONEU2600314,"Furniture parts, KD packed",2026-05-04T09:00:00-06:00,2026-05-08T18:00:00-06:00,2026-06-02T18:00:00-06:00,Booking por Confirmar,dry-run,
ONE-EMAIL-SEED-20260429080000,901712832326,32,ONE-TT-0032,,,"EMAIL | ONE-TT-0032 | ONEYTT26000032 | Shekou, China",2026-04-29T08:15:30-06:00,shipping@apexhome-shenzhen.cn,sandbox-shipments@mtm-logistics.test,"New ONE shipment request - ONEYTT26000032 - 2x 20GP from Shekou, China",Shenzhen Apex Home Products Ltd.,shipping@apexhome-shenzhen.cn,Sandbox Customer Mexico,"Shekou, China factory zone","Shekou, China",SHEKOU,PUERTO QUETZAL,ONEYTT26000032,2,20GP,ONEU2600320; ONEU2610328,Machinery spare parts,2026-05-05T09:00:00-06:00,2026-05-09T18:00:00-06:00,2026-06-04T18:00:00-06:00,Booking por Confirmar,dry-run,
ONE-EMAIL-SEED-20260429080000,901712832326,33,ONE-TT-0033,,,"EMAIL | ONE-TT-0033 | ONEYTT26000033 | Yantian, China",2026-04-29T08:16:00-06:00,logistics@sunrise-machinery.cn,sandbox-shipments@mtm-logistics.test,"New ONE shipment request - ONEYTT26000033 - 3x 40 HC from Yantian, China","Qingdao Sunrise Machinery Co., Ltd.",logistics@sunrise-machinery.cn,Sandbox Customer El Salvador,"Yantian, China factory zone","Yantian, China",YANTIAN,"VERACRUZ, MEXICO",ONEYTT26000033,3,40 HC,ONEU2600335; ONEU2610333; ONEU2620331,"Auto spare parts, non-hazardous",2026-05-06T09:00:00-06:00,2026-05-10T18:00:00-06:00,2026-06-06T18:00:00-06:00,Booking por Confirmar,dry-run,
ONE-EMAIL-SEED-20260429080000,901712832326,34,ONE-TT-0034,,,"EMAIL | ONE-TT-0034 | ONEYTT26000034 | Qingdao, China",2026-04-29T08:16:30-06:00,docs@blueocean-ceramics.cn,sandbox-shipments@mtm-logistics.test,"New ONE shipment request - ONEYTT26000034 - 4x 40 HC from Qingdao, China",Xiamen Blue Ocean Ceramics Ltd.,docs@blueocean-ceramics.cn,Sandbox Automotive Imports,"Qingdao, China factory zone","Qingdao, China",QINGDAO,PUERTO SANTO TOMÁS DE CASTILLA,ONEYTT26000034,4,40 HC,ONEU2600340; ONEU2610349; ONEU2620347; ONEU2630345,Household goods and retail fixtures,2026-05-07T09:00:00-06:00,2026-05-11T18:00:00-06:00,2026-06-08T18:00:00-06:00,Booking por Confirmar,dry-run,
ONE-EMAIL-SEED-20260429080000,901712832326,35,ONE-TT-0035,,,"EMAIL | ONE-TT-0035 | ONEYTT26000035 | Xiamen, China",2026-04-29T08:17:00-06:00,export.ops@yantian-electronics.cn,sandbox-shipments@mtm-logistics.test,"New ONE shipment request - ONEYTT26000035 - 5x 40 DRY from Xiamen, China","Yantian Global Electronics Co., Ltd.",export.ops@yantian-electronics.cn,Sandbox Retail Distribution,"Xiamen, China factory zone","Xiamen, China",YANTIAN,"Lázaro Cárdenas, México",ONEYTT26000035,5,40 DRY,ONEU2600356; ONEU2610354; ONEU2620352; ONEU2630350; ONEU2640359,Ceramic tiles and sanitary ware,2026-05-01T09:00:00-06:00,2026-05-12T18:00:00-06:00,2026-06-10T18:00:00-06:00,Booking por Confirmar,dry-run,
ONE-EMAIL-SEED-20260429080000,901712832326,36,ONE-TT-0036,,,"EMAIL | ONE-TT-0036 | ONEYTT26000036 | Ningbo, China",2026-04-29T08:17:30-06:00,salesops@meridian-foshan.cn,sandbox-shipments@mtm-logistics.test,"New ONE shipment request - ONEYTT26000036 - 1x 20GP from Ningbo, China",Foshan Meridian Furniture Manufacturing,salesops@meridian-foshan.cn,Sandbox Industrial Supplies,"Ningbo, China factory zone","Ningbo, China",NINGBO,PUERTO QUETZAL,ONEYTT26000036,1,20GP,ONEU2600361,LED lighting components,2026-05-02T09:00:00-06:00,2026-05-04T18:00:00-06:00,2026-05-28T18:00:00-06:00,Booking por Confirmar,dry-run,
