custom_id,clickup_task_name,clickup_selected_customer,clickup_market,clickup_owner_country,clickup_webpage,clickup_tax_id,clickup_sales_email,clickup_finance_email,clickup_operations_email,clickup_contact_email_1,clickup_contact_phone_number,clickup_contact_phone_1,clickup_contact_name_1,clickup_sales_contact,clickup_needs_credit,bc_customer_number,bc_customer_id,bc_display_name,bc_email,bc_phone,bc_website,bc_country,bc_currency,bc_tax_id,bc_payment_terms_id,bc_payment_method_id,bc_salesperson_code,bc_blocked,bc_credit_limit,name_exact_match,email_exact_match,phone_exact_match,tax_exact_match,website_exact_match
MTM-2035602,BARENTZ GUATEMALA,Barentz Guatemala,GT,Guatemala,http://www.barentz-na.com,,,,,,+502 3069 2833,+502 6626 4500,"JOSE ORTIZ
jose.ortiz@barentz.com",,,C00065,5f24e2c9-f172-f011-8eef-000d3a7433a8,"BARENTZ GUATEMALA, SOCIEDAD ANONIMA",,,,GT,USD,29701953,d2e9f8bc-9a40-ee11-bdf5-002248a8cade,e92f1f10-6e6f-ee11-8df1-000d3a740a80,,_x0020_,0,False,False,False,False,False
MTM-2035606,"BODEGANGAS, SOCIEDAD ANONIMA",Bodegangas Guatemala,GT,Guatemala,,,,,,,,,,,,C00062,bb6b8a18-af6c-f011-8eef-000d3a71a9f1,"BODEGANGAS, SOCIEDAD ANONIMA",,,,GT,USD,96532432,5e90db8f-3d53-ee11-be6d-002248a4a9b0,e92f1f10-6e6f-ee11-8df1-000d3a740a80,,_x0020_,0,False,False,False,False,False
MTM-2035670,CARMIEL / Haifa Corporación,CARMIEL S.A,GT,Guatemala,,,,,,gerencia@htcorp.com,,,Cecilia Sandoval,,,C00068,7126b5ee-da98-f011-b419-002248a74598,"CARMIEL, SOCIEDAD ANONIMA",,22008000,,GT,USD,91250285,5e90db8f-3d53-ee11-be6d-002248a4a9b0,048ab4a4-33db-ee11-904c-002248a8bf91,,_x0020_,0,False,False,False,False,False
MTM-2035672,"TEXTISUR -TEXTILES DEL SUR, S.A. - INDUSTRIAS DISNA / FRAZIMA INTERNACIONAL, S. A",Textisur,GT,Guatemala,http://textisur.com,,,,,atamayac@textisur.com,,+502 6628 0800,Ana Elizabeth Tamayac / Importaciones,,,C00071,27f863e1-9fb3-f011-bbd1-000d3a71d4ba,"INDUSTRIAS DISNA, SOCIEDAD ANONIMA",atamayac@textisur.com,,,GT,USD,82946884,d3e9f8bc-9a40-ee11-bdf5-002248a8cade,048ab4a4-33db-ee11-904c-002248a8bf91,,_x0020_,0,False,True,False,False,False
MTM-2035916,"DISCOGUA - DISTRIBUIDORA COMERCIAL GUATEMALTECA, S.A.",Discogua,GT,Guatemala,http://DISCOGUA.COM.GT,,,,,ggonzalez@discogua.com.gt,,+50224629800,Gilberto Gonzalez,,,C00079,9b287a07-21d2-f011-8543-002248a952f5,DISTRIBUIDORA COMERCIAL GUATEMALTECA SOCIEDAD ANONIMA,,24629800,,GT,USD,4899547,d2e9f8bc-9a40-ee11-bdf5-002248a8cade,e92f1f10-6e6f-ee11-8df1-000d3a740a80,,_x0020_,0,False,False,False,False,False
MTM-2035933,"ANTIQUE, S.A.",ANTIQUE S.A.,GT,Guatemala,https://www.antique.com.gt,,,,,conta2@antique.com.gt,,+50255533751,Laura Hernandez,,,C00070,b0b095e4-7bab-f011-bbd0-000d3a71d4ba,ANTIQUE SOCIEDAD ANONIMA,conta@antique.com.gt,22515474,,GT,USD,44368461,d3e9f8bc-9a40-ee11-bdf5-002248a8cade,048ab4a4-33db-ee11-904c-002248a8bf91,,_x0020_,0,False,False,False,False,False
MTM-2036013,MULTIMATERIALES,Multimateriales GT,GT,Guatemala,,,,,,vjimenez@multimateriales.com.gt,,+502 4374 8099,Vilma Jimenez,,,C00067,a2ebfe2c-d898-f011-b419-002248a74598,"MULTIMATERIALES, SOCIEDAD ANONIMA",vjimenez@multimateriales.com,,,GT,USD,6085350,d2e9f8bc-9a40-ee11-bdf5-002248a8cade,048ab4a4-33db-ee11-904c-002248a8bf91,,_x0020_,0,False,False,False,False,False
MTM-2036043,"SOLAR GUATE (Energía Solar de Guatemala, S.A.)",SolarGuat,GT,Guatemala,,,,,,FOSOLANO@GMAIL.COM,,+502 2412 7499,FREDY SOLANO,,,C00086,c12adf07-6bea-f011-8542-002248a99c7e,"ENERGIA SOLAR DE GUATEMALA, SOCIEDAD ANONIMA",fosolano@gmail.com,,,GT,USD,79259146,5e90db8f-3d53-ee11-be6d-002248a4a9b0,048ab4a4-33db-ee11-904c-002248a8bf91,,_x0020_,0,False,True,False,False,False
MTM-2036502,"COTTONTEXTILE, S.A. - TEXTILASA",Cotton Textil,GT,Guatemala,http://www.cottontex.com.gt,,,,,jefaturafinanciera@textilasa.com.gt,,,William,,,C00081,c80671e0-23d2-f011-8543-002248a952f5,"COTTONTEXTILE, SOCIEDAD ANONIMA",,22188500,,GT,USD,108207552,d2e9f8bc-9a40-ee11-bdf5-002248a8cade,e92f1f10-6e6f-ee11-8df1-000d3a740a80,,_x0020_,0,False,False,False,False,False
MTM-2036618,MULTISERVICIOS STONE ART,Multiservicios Stone Art,GT,Guatemala,,,,,,Stoneartrd@gmail.com,,+502 5005 0855,Rafael Carrera,,,C00087,4bd3e0ee-f2f6-f011-8405-002248ab88b6,"MULTISERVICIOS STONE ART, SOCIEDAD ANONIMA",rcarrerah@miumg.edu.gt,,,GT,USD,120652757,5e90db8f-3d53-ee11-be6d-002248a4a9b0,048ab4a4-33db-ee11-904c-002248a8bf91,,_x0020_,0,False,False,False,False,False
